traditional	simplified	pinyin	translation_fr-FR
電動轉盤	电动转盘	dian4 dong4 zhuan4 pan2	"platine électrique__plaque tournante électrique"
電廠	电厂	dian4 chang3	"centrale électrique"
電壓	电压	dian4 ya1	"tension électrique"
電壓強	电压强	dian4 ya1 qiang2	"pression électrostatique"
電臺	电台	dian4 tai2	"(station de) radio"
電台司令	电台司令	dian4 tai2 si1 ling4	"Radiohead (groupe anglais)"
電唱頭	电唱头	dian4 chang4 tou2	"tête de lecture pour tourne-disque"
電唱機	电唱机	dian4 chang4 ji1	"électrophone__tourne-disque__phono__phonographe__pick-up"
電商	电商	dian4 shang1	"e-commerce__commerce en ligne"
電器	电器	dian4 qi4	"appareil électroménager__équipement électrique"
電圓鋸	电圆锯	dian4 yuan2 ju4	"scie circulaire"
電子	电子	dian4 zi3	"électronique__électron"
電子書	电子书	dian4 zi3 shu1	"livre électronique__ebook__lecteur ebook"
電子書	电子书	dian4 zi5 shu1	"livre électronique__e-book__lecteur ebook__livrel"
電子産品	电子产品	dian4 zi3 chan3 pin3	"électroménager"
電子信箱	电子信箱	dian4 zi3 xin4 xiang1	"boite à lettres électronique__(adresse) courriel__e-mail"
電子元件	电子元件	dian4 zi3 yuan2 jian4	"composant électronique"
電子元器件	电子元器件	dian4 zi3 yuan2 qi4 jian4	"composant électronique"
電子商務	电子商务	dian4 zi3 shang1 wu4	"commerce électronique"
電子圖書	电子图书	dian4 zi3 tu2 shu1	"livre électronique"
電子工業	电子工业	dian4 zi3 gong1 ye4	"industrie électronique"
電子市場	电子市场	dian4 zi3 shi4 chang3	"marché électronique"
電子手帳	电子手帐	dian4 zi3 shou3 zhang4	"agenda électronique__PDA"
電子技術	电子技术	dian4 zi3 ji4 shu4	"technologie électronique"
電子政務	电子政务	dian4 zi3 zheng4 wu4	"cybergouvernement (générique)__administration en ligne (spécifique)"
電子數據系統	电子数据系统	dian4 zi3 shu4 ju4 ji4 tong3	"Electronic Data Systems__Systèmes de données électroniques"
電子遊戲	电子游戏	dian4 zi3 you2 xi4	"jeu vidéo"
電子版	电子版	dian4 zi3 ban3	"version électronique"
電子琴	电子琴	dian4 zi3 qin2	"piano électronique"
電子盤	电子盘	dian4 zi3 pan2	"clé USB"
電子競技	电子竞技	dian4 zi3 jing4 ji4	"sport électronique__e-sport__esport"
電子舞曲	电子舞曲	dian4 zi3 wu3 qu3	"musique de danse électronique"
電子計算機	电子计算机	dian4 zi3 ji4 suan4 ji1	"ordinateur"
電子設備	电子设备	dian4 zi3 she4 bei4	"équipement électronique"
電子郵件	电子邮件	dian4 zi3 you2 jian4	"courrier électronique__courriel__e-mail__mail__mél"
電子郵件地址	电子邮件地址	dian4 zi3 you2 jian4 di4 zhi3	"courrier électronique__adresse courriel__e-mail"
電子郵箱	电子邮箱	dian4 zi3 you2 xiang1	"courrier électronique"
電容	电容	dian4 rong2	"capacité électrique"
電容器	电容器	dian4 rong2 qi4	"condensateur (électricité)"
電工	电工	dian4 gong1	"électricien__électrique"
電影	电影	dian4 ying3	"cinéma__film"
電影學	电影学	dian4 ying3 xue2	"cinématographie"
電影導演	电影导演	dian4 ying3 dao3 yan3	"réalisateur (de film)"
電影海報	电影海报	dian4 ying5 hai3 bao4	"affiche de cinéma"
電影版	电影版	dian4 ying3 ban3	"adaptation cinématographique"
電影節	电影节	dian4 ying3 jie2	"festival de cinéma"
電影院	电影院	dian4 ying3 yuan4	"salle de cinéma"
電感	电感	dian4 gan3	"Inductance"
電報	电报	dian4 bao4	"télégraphe"
電控	电控	dian4 kong4	"commande électrique"
電教	电教	dian4 jiao4	"enseignement multimédia"
電機	电机	dian4 ji1	"machine électrique"
電杆	电杆	dian4 gan1	"poteau électrique__poteau télégraphique"
電極	电极	dian4 ji2	"électrode"
電橋	电桥	dian4 qiao2	"pont de Wheatstone (instrument de mesure)"
電梯	电梯	dian4 ti1	"ascenseur__escalator"
電棒	电棒	dian4 bang4	"(fam.) lampe de poche__(Tw) matraque d'étourdissement__fer à lisser"
電死	电死	dian4 si3	"électrocuter__mourir d'un choc électrique"
電氣	电气	dian4 qi4	"électrique"
電氣工程師	电气工程师	dian4 qi4 gong1 cheng2 shi1	"ingénieur électricien"
電氣設備	电气设备	dian4 qi4 she4 bei4	"matériel électrique"
電匯	电汇	dian4 hui4	"virement bancaire"
電池	电池	dian4 chi2	"pile électrique__batterie (électrique)"
電波	电波	dian4 bo1	"onde électrique__courant alternatif"
電波鳥人樂隊	电波鸟人乐队	dian4 bo1 diao3 ren2 yue4 dui4	"Radio Birdman (groupe australien)"
電洞	电洞	dian4 dong4	"trou d'électron"
電流	电流	dian4 liu2	"courant électrique"
電漿	电浆	dian4 jiang1	"plasma (physique)"
電漿子	电浆子	dian4 jiang1 zi3	"plasmon (physique)"
電源	电源	dian4 yuan2	"source d'alimentation__source de courant"
電源線	电源线	dian4 yuan2 xian4	"câble d'alimentation"
電燈	电灯	dian4 deng1	"lampe électrique"
電熱	电热	dian4 re4	"radiateur électrique__chauffage électrique__calorifère"
電熱壺	电热壶	dian4 re4 hu2	"bouilloire électrique"
電玩	电玩	dian4 wan2	"jeu vidéo"
電瓶	电瓶	dian4 ping2	"batterie au plomb"
電療	电疗	dian4 liao2	"électrothérapie"
電白	电白	Dian4 bai2	"Dianbai (Guangdong)"
電白縣	电白县	Dian4 bai2 xian4	"Xian de Dianbai (Guangdong)"
電磁	电磁	dian4 ci2	"électromagnétisme"
電磁波	电磁波	dian4 ci2 bo1	"rayonnement électromagnétique__onde électromagnétique"
電磁爐	电磁炉	dian4 ci2 lu2	"plaque à induction"
電磁閥	电磁阀	dian4 ci2 fa2	"électrovanne"
電磨	电磨	dian4 mo4	"ponceuse__polisseuse"
電站	电站	dian4 zhan4	"centrale électrique"
電競	电竞	dian4 jing4	"e-sport__esport__sport électronique"
電線	电线	dian4 xian4	"fil électrique"
電線桿	电线杆	dian4 xian4 gan3	"poteau télégraphique__poteau électrique"
電線杆	电线杆	dian4 xian4 gan1	"poteau électrique__poteau télégraphique__lampadaire"
電纜	电缆	dian4 lan3	"câble"
電纜接頭	电缆接头	dian4 lan3 jie1 tou2	"presse-étoupe"
電網	电网	dian4 wang3	"réseau de fils électrifiés__barbelés électrifiés"
電能	电能	dian4 neng2	"énergie électrique"
電腦	电脑	dian4 nao3	"ordinateur"
電腦化	电脑化	dian4 nao3 hua4	"informatiser"
電腦游戲	电脑游戏	dian4 nao3 you2 xi4	"jeu vidéo sur ordinateur"
電腦愛好者	电脑爱好者	dian4 nao3 ai4 hao3 zhe3	"passionné d'informatique"
電腦網	电脑网	dian4 nao3 wang3	"réseau informatique__Internet"
電腦軟件	电脑软件	dian4 nao3 ruan3 jian4	"logiciel"
電腦輔助軟體工程	电脑辅助软体工程	dian4 nao3 fu3 zhu4 ruan3 ti1 gong1 cheng2	"génie logiciel assisté par ordinateur__computer-aided software engineering__CASE"
電臀舞	电臀舞	dian4 tun2 wu3	"twerk (danse)"
電蚊拍	电蚊拍	dian4 wen2 pai1	"tapette à insectes électrique"
電表	电表	dian4 biao3	"compteur électrique__ampèremètre"
電視	电视	dian4 shi4	"télévision__télé__TV"
電視劇	电视剧	dian4 shi4 ju4	"série télé"
電視臺	电视台	dian4 shi4 tai2	"station de télévision"
電視廣告	电视广告	dian4 shi4 guang3 gao4	"publicité télévisée__pub TV"
電視機	电视机	dian4 shi4 ji1	"téléviseur"
電視直播	电视直播	dian4 shi4 zhi2 bo1	"télévision en direct"
電視真人秀節目	电视真人秀节目	dian4 shi4 zhen1 ren2 xiu4 jie2 mu4	"émission de télé-réalité"
電視節目	电视节目	dian4 shi4 jie2 mu4	"émission de télévision__série télévisée"
電視購物	电视购物	dian4 shi4 gou4 wu4	"téléachat"
電視長片	电视长片	dian4 shi4 zhang3 pian4	"téléfilm"
電視頻道	电视频道	dian4 shi4 pin2 dao4	"chaine de télévision"
電解	电解	dian4 jie3	"électrolyse"
電警棍	电警棍	dian4 jing3 gun4	"matraque électrique"
電訊	电讯	dian4 xun4	"télégraphie__télécommunications"
電話	电话	dian4 hua4	"téléphone"
電話亭	电话亭	dian4 hua4 ting2	"cabine téléphonique"
電話會議	电话会议	dian4 hua4 hui4 yi4	"audioconférence"
電話卡	电话卡	dian4 hua4 ka3	"télécarte__carte téléphonique"
電話號碼	电话号码	dian4 hua4 hao4 ma3	"numéro de téléphone"
電話推銷員	电话推销员	dian4 hua4 tui1 xiao1 yuan2	"télévendeur"
電話機	电话机	dian4 hua4 ji1	"appareil"
電話簿	电话簿	dian4 hua4 bu4	"annuaire téléphonique"
電話線	电话线	dian4 hua4 xian4	"ligne téléphonique__fil de téléphone"
電話費	电话费	dian4 hua4 fei4	"frais téléphoniques"
電費	电费	dian4 fei4	"électricité"
電路	电路	dian4 lu4	"circuit électrique"
電路板	电路板	dian4 lu4 ban3	"circuit imprimé"
電車	电车	dian4 che1	"trolleybus__tram"
電車男	电车男	dian4 che1 nan2	"Densha Otoko (série TV)"
電轉盤	电转盘	dian4 zhuan4 pan2	"platine électrique__plaque tournante électrique"
電通	电通	dian4 tong1	"Dentsu (société)"
電郵	电邮	dian4 you2	"courrier électronique__courriel__e-mail__mail__mél"
電郵地址	电邮地址	dian4 you2 di4 zhi3	"adresse électronique__adresse courriel__adresse e-mail"
電郵新聞	电邮新闻	dian4 you2 xin1 wen2	"lettre d'information électronique__newsletter__infolettre__cyberlettre"
電量	电量	dian4 liang4	"quantité de charge électrique ou de courant"
電量焦慮症	电量焦虑症	dian4 liang4 jiao1 lu4 zheng4	"nomophobie__anxiété liée à une batterie (de téléphone) vide"
電錘	电锤	dian4 chui2	"marteau rotatif__marteau perforateur"
電鍍	电镀	dian4 du4	"galvanoplastie"
電閘	电闸	dian4 zha2	"interrupteur"
電阻	电阻	dian4 zu3	"résistance (électricité)"
電風扇	电风扇	dian4 feng1 shan4	"ventilateur"
電鰩目	电鳐目	dian4 yao2 mu4	"Torpedo__poisson torpille"
男	男	nan2	"masculin__homme (en opposition à femme)"
男丁	男丁	nan2 ding1	"mâle adulte"
男主角	男主角	nan2 zhu3 jiao3	"héros (masculin)"
男人	男人	nan2 ren2	"homme (masculin)"
男人裝	男人装	nan2 ren2 zhuang1	"FHM (For Him Magazine)"
男兒	男儿	nan2 er2	"(un vrai) homme__garçon__fils"
男單	男单	nan2 dan1	"simple hommes (sport)"
男衛	男卫	nan2 wei4	"salle de bain des hommes__toilettes pour hommes"
男雙	男双	nan2 shuang1	"double masculin (sport)"
男同	男同	nan2 tong2	"mec gay"
男同胞	男同胞	nan2 tong2 bao1	"compatriote masculin__mâle"
男士	男士	nan2 shi4	"homme__gentilhomme"
男女	男女	nan2 nu:3	"homme-femme__hommes et femmes__garçon et fille"
男女關係	男女关系	nan2 nu:3 guan1 xi4	"relation intime"
男女合校	男女合校	nan2 nu:3 he2 xiao4	"coéducationnel"
男女老幼	男女老幼	nan2 nu:3 lao3 you4	"hommes, femmes, jeunes et vieux__tout le monde"
男娃	男娃	nan2 wa2	"gars__mec"
男嬰	男婴	nan2 ying1	"bébé de sexe masculin"
男子	男子	nan2 zi3	"homme (masculin)"
男子漢	男子汉	nan2 zi3 han4	"homme__homme de caractère__gaillard"
男孩	男孩	nan2 hai2	"garçon"
男孩子	男孩子	nan2 hai2 zi5	"garçon"
男孩特區	男孩特区	nan2 hai2 te4 qu1	"Boyzone (groupe irlandais)"
男尊女卑	男尊女卑	nan2 zun1 nu:3 bei1	"(expr. idiom.) considérer les hommes comme supérieurs aux femmes"
男工	男工	nan2 gong1	"ouvrier masculin__travailleur (homme)"
男式佔座	男式占座	nan2 shi4 zhan4 zuo4	"manspreading"
男性	男性	nan2 xing4	"homme (masculin)__sexe masculin"
男護	男护	nan2 hu4	"infirmier"
男排	男排	nan2 pai2	"volleyball masculin"
男方	男方	nan2 fang1	"du côté de l'époux__famille de l'époux"
男旦	男旦	nan2 dan4	"acteur masculin jouant le rôle féminin (opéra chinois)"
男星	男星	nan2 xing1	"vedette masculine__célèbre acteur"
男朋友	男朋友	nan2 peng2 you5	"petit copain__petit ami__amoureux (n.m.)__chum"
男根	男根	nan2 gen1	"pénis"
男演員	男演员	nan2 yan3 yuan2	"acteur (masculin)"
男漫	男漫	nan2 man4	"bromance"
男爵	男爵	nan2 jue2	"baron (noblesse)"
男生	男生	nan2 sheng1	"(masculin) étudiant__écolier__lycéen__élève"
男神	男神	nan2 shen2	"M. Parfait__prince Charmant__dieu grec (dans le sens de beau)"
男票	男票	nan2 piao4	"petit ami (argot Internet)"
男童	男童	nan2 tong2	"garçon__enfant de sexe masculin"
男籃	男篮	nan2 lan2	"basketball masculin__équipe de basketball masculin"
男蟲	男虫	nan2 chong2	"escroc"
男裝	男装	nan2 zhuang1	"vêtements pour hommes__vêtements masculins"
男風	男风	nan2 feng1	"homosexualité masculine__sodomie (masculine)"
甸	甸	dian4	"grande banlieue"
町	町	ding1	"(utilisé dans les noms de lieux)"
町	町	ting3	"limite__faubourg"
畫	画	hua4	"dessin__peinture__magazine__dessiner__peindre"
畫作	画作	hua4 zuo4	"peinture__dessin"
畫像	画像	hua4 xiang4	"dessiner ou peindre un portrait"
畫冊	画册	hua4 ce4	"album de peintures__livre d'art"
畫十字	画十字	hua4 shi2 zi4	"faire le signe de croix__faire une croix"
畫卷	画卷	hua4 juan3	"rouleau de peinture"
畫圖	画图	hua4 tu2	"Microsoft Paint"
畫外音	画外音	hua4 wai4 yin1	"voix off"
畫室	画室	hua4 shi4	"atelier d'artiste"
畫家	画家	hua4 jia1	"peintre (artiste)"
畫展	画展	hua4 zhan3	"exposition de peintures"
畫廊	画廊	hua4 lang2	"galerie d'art__corridor décoré avec des peintures"
畫報	画报	hua4 bao4	"revue illustrée__magazine"
畫架	画架	hua4 jia4	"chevalet"
畫畫	画画	hua4 hua4	"faire une peinture__peindre un tableau"
畫眉	画眉	hua4 mei2	"Garrulaxe hoamy (passereau de la famille des Leiothrichidae)"
畫筆	画笔	hua4 bi3	"pinceau"
畫等號	画等号	hua4 deng3 hao4	"assimiler__considérer (deux choses) comme équivalentes"
畫舫	画舫	hua4 fang3	"bateau de plaisance décoré"
畫蛇添足	画蛇添足	hua4 she2 tian1 zu2	"(expr. idiom.) dessiner un serpent et lui ajouter des pattes__superfétation__amplification inutile__être la cinquième roue d'un carrosse__faire du zèle__le mieux est l'ennemi du bien"
畫質	画质	hua4 zhi4	"qualité d'image"
畫面	画面	hua4 mian4	"image__scène (d'un film...)__représentation__photo"
畫風	画风	hua4 feng1	"style de peinture"
畫龍點睛	画龙点睛	hua4 long2 dian3 jing1	"(expr. idiom.) peindre le point dans les yeux du dragon__touche finale__rajouter une touche décisive"
甾	甾	zai1	"stéroïde"
甾醇	甾醇	zai1 chun2	"stérol"
畀	畀	bi4	"conférer à__donner à__confier à"
暢	畅	chang4	"sans encombre__à l'aise__libre__librement"
暢快	畅快	chang4 kuai4	"bienheureux"
暢想	畅想	chang4 xiang3	"penser librement__imagination débridée"
暢所欲言	畅所欲言	chang4 suo3 yu4 yan2	"(expr. idiom.) dire ce qu'on a à dire__vider son sac"
暢遊	畅游	chang4 you2	"nager avec joie__faire du tourisme local"
暢然	畅然	chang4 ran2	"dans la bonne humeur"
暢談	畅谈	chang4 tan2	"parler à coeur ouvert__parler franchement"
暢通	畅通	chang4 tong1	"libre__sans obstacle__débouché"
暢通無阻	畅通无阻	chang4 tong1 wu2 zu3	"passer sans rencontrer d'obstacles__franchir sans peine"
暢銷	畅销	chang4 xiao1	"se vendre bien__s'écouler rapidement"
暢銷書	畅销书	chang4 xiao1 shu1	"bestseller__best-seller__succès en librairie"
暢順	畅顺	chang4 shun4	"lisse__sans entrave"
畈	畈	fan4	"champ"
畊	畊	geng1	"labourer"
畋	畋	tian2	"cultiver (la terre)__chasser"
畋獵	畋猎	tian2 lie4	"chasser"
界	界	jie4	"frontière__étendue__milieu__monde"
界址	界址	jie4 zhi3	"frontière (d'un terrain ou d'un territoire)"
界定	界定	jie4 ding4	"délimiter"
界點	界点	jie4 dian3	"point intérieur (topologie math.)"
界線	界线	jie4 xian4	"frontière__limite"
界限	界限	jie4 xian4	"démarcation__borne__frontière__limite__extrémité"
界限街	界限街	jie4 xian4 jie1	"Boundary Street (Hong Kong)"
界面	界面	jie4 mian4	"interface"
界首	界首	Jie4 shou3	"Jieshou (Anhui)"
界首市	界首市	Jie4 shou3 shi4	"Jieshou (Anhui)"
畎	畎	quan3	"canal"
畏	畏	wei4	"craindre"
畏友	畏友	wei4 you3	"ami vénéré"
畏懼	畏惧	wei4 ju4	"craindre__avoir peur"
畏縮	畏缩	wei4 suo1	"reculer__se dérober"
畔	畔	pan4	"berge__rive__accotement"
畔布勞瑙週刊	畔布劳瑙周刊	pan4 bu4 lao2 nao3 zhou1 kan1	"Braunauer Rundschau (journal)"
畔援	畔援	pan4 yuan2	"Don Quichotte"
畱	留	liu2	"rester__séjourner__inviter à rester__retenir__réserver__conserver__laisser (un message)"
留下	留下	liu2 xia4	"laisser__rester"
留住	留住	liu2 zhu4	"demander à qqn de rester"
留出	留出	liu2 chu1	"réserver__mettre de côté"
留在	留在	liu2 zai4	"rester__demeurer"
留堂	留堂	liu2 tang2	"rester après (ex: après la classe)__avoir une retenue__retenue"
留存	留存	liu2 cun2	"garder__conserver"
留學	留学	liu2 xue2	"faire des études à l'étranger__étudier à l'étranger"
留學生	留学生	liu2 xue2 sheng1	"étudiant à l'étranger"
留守	留守	liu2 shou3	"rester en garnison lorsque le gros de l'armée est parti pour le combat"
留尼旺	留尼旺	Liu2 ni2 wang4	"La Réunion (Tw)"
留底	留底	liu2 di3	"conserver une copie__copie conservée pour archivage__mettre de côté une partie"
留影	留影	liu2 ying3	"se faire photographier en souvenir"
留心	留心	liu2 xin1	"faire attention"
留心眼兒	留心眼儿	liu2 xin1 yan3 r	"être en alerte__garder les yeux ouverts"
留念	留念	liu2 nian4	"garder en souvenir"
留戀	留恋	liu2 lian4	"s'attacher"
留情	留情	liu2 qing2	"avoir des égards pour"
留意	留意	liu2 yi4	"être attentif__faire attention à"
留有	留有	liu2 you3	"préserver__garder en vie"
留有餘地	留有余地	liu2 you3 yu2 di4	"laisser du jeu, de la latitude, une marge de manoeuvre"
留用	留用	liu2 yong4	"garder (pour utiliser)"
留神	留神	liu2 shen2	"faire attention__prendre garde"
留空	留空	liu2 kong1	"laisser des blancs en écrivant"
留空	留空	liu2 kong4	"laisser un espace vide dans un document__laisser un peu de temps libre"
留給	留给	liu2 gei3	"mettre de côté pour"
留言	留言	liu2 yan2	"laisser un commentaire__laisser un message"
留言本	留言本	liu2 yan2 ben3	"livre d'or"
留言板	留言板	liu2 yan2 ban3	"Bulletin board system"
留言簿	留言簿	liu2 yan2 bu4	"livre d'or"
留都	留都	liu2 du1	"ancienne capitale"
留里克	留里克	Liu2 li3 ke4	"Riourik__Riurik__Rurik__Rourik"
留飯	留饭	liu2 fan4	"garder qqn à diner"
畚	畚	ben3	"corbeille"
畛	畛	zhen3	"limite__divergence"
畛域	畛域	zhen3 yu4	"(formel) frontière__cadre"
畜	畜	chu4	"cheptel__bétail__animal domestique"
畜	畜	xu4	"élever__nourrir"
畜牧	畜牧	xu4 mu4	"élever du bétail__élevage"
畜牧業	畜牧业	xu4 mu4 ye4	"Élevage"
畜生	畜生	chu4 sheng5	"bête__animal__(insultant envers une personne)"
畜類	畜类	chu4 lei4	"animal domestique"
畟	畟	ce4	"pénétrant__incisif"
畤	畤	zhi4	"aire sacrificielle__limite entre deux champs__limite entre deux rizières"
畧	略	lu:e4	"bref__sommaire__résumé__précis__un peu__légèrement__omettre"
略為	略为	lu:e4 wei2	"légèrement"
略帶	略带	lu:e4 dai4	"mentionner brièvement"
略微	略微	lu:e4 wei1	"légèrement__un peu"
略略	略略	lu:e4 lu:e4	"légèrement__brièvement"
畦	畦	qi2	"champ"
番	番	fan1	"étranger__nombre de fois__(classificateur pour les actions)"
番	番	Pan1	"(nom de famille)"
番刀	番刀	fan1 dao1	"(type de machette utilisée par les aborigènes de Taiwan, portée à la taille dans un fourreau à côté ouvert)"
番椒	番椒	fan1 jiao1	"poivron piquant"
番界	番界	fan1 jie4	"territoire occupé par les aborigènes de Taïwan (arch.)"
番禺	番禺	Pan1 yu2	"District de Panyu"
番茄	番茄	fan1 qie2	"tomate"
畬	畲	yu2	"défricher par le feu__culture sur brûlis"
畬	畲	She1	"groupe ethnique She"
畬族	畲族	She1 zu2	"groupe ethnique She"
疇	畴	chou2	"terres arables__champs cultivés__sorte__catégorie"
畵	畵	hua4	"(peinture)"
畸	畸	ji1	"anormal__étrange"
畸型	畸型	ji1 xing2	"malformation"
畸形	畸形	ji1 xing2	"difformité__anomalie"
畹町市	畹町市	Wan3 ding1 shi4	"Wanding (Yunnan)"
畽	畽	tuan3	"lieu foulé par les animaux"
畿	畿	ji1	"les alentours d'une capitale"
疆	疆	jiang1	"limite__frontière"
疆斯	疆斯	jiang1 si1	"Jens (Suisse)"
疋	疋	pi3	"(classificateur des étoffes)__103e radical"
疏	疏	shu1	"disperser__tenir qqn à distance__négliger__draguer (un canal)__peu nombreux__dispersé__éloigné"
疏於	疏于	shu1 yu2	"ne pas prêter une attention suffisante envers__faire preuve de négligence en ce qui concerne__faire défaut dans"
疏密	疏密	shu1 mi4	"nombre caractéristique (topologie math.)"
疏導	疏导	shu1 dao3	"ouvrir un chemin__enlever les obstacles__éclairer__persuasion"
疏忽	疏忽	shu1 hu5	"négligence__inattention"
疏散	疏散	shu1 san4	"évacuer__disperser__clairsemé__épars__éparpillé"
疏率	疏率	shu1 shuai4	"insouciant__imprudent"
疏離	疏离	shu1 li2	"devenir aliéné__aliéné__aliénation__désaffection"
疏落	疏落	shu1 luo4	"clairsemé__espacé__épars"
疎謀少略	疏谋少略	shu1 mou2 shao3 lu:e4	"(expr. idiom.) incapable de planifier__inepte à la stratégie"
疏遠	疏远	shu1 yuan3	"tenir qqn à distance__être séparé"
疏通	疏通	shu1 tong1	"curer__draguer__réconcilier__ouvrir la voie__faciliter"
疐	疐	zhi4	"prosterné__prostré"
疑	疑	yi2	"doute__soupçon__douteux__douter__soupçonner"
疑義	疑义	yi2 yi4	"doute__douteux"
疑雲	疑云	yi2 yun2	"soupçon"
疑似	疑似	yi2 si4	"soupçonné"
疑心	疑心	yi2 xin1	"suspicion"
疑惑	疑惑	yi2 huo4	"incertain__douteux__suspecter__douter__ne pas être convaincu"
疑涉	疑涉	yi2 she4	"être soupçonné de"
疑點	疑点	yi2 dian3	"point douteux"
疑犯	疑犯	yi2 fan4	"suspect"
疑病症	疑病症	yi2 bing4 zheng4	"hypocondriaque"
疑慮	疑虑	yi2 lu:4	"inquiétude__doute"
疑問	疑问	yi2 wen4	"doute__question"
疑難	疑难	yi2 nan2	"indécis__difficile__épineux"
疑難問題	疑难问题	yi2 nan2 wen4 ti2	"problème épineux__grande difficulté"
疒	疒	ne4	"maladie (radical clé 104)"
疔	疔	ding1	"furoncle__bubon__ulcère vénérien"
疕	疕	bi3	"gale__maladie de la peau du visage"
癤	疖	jie2	"petit abcès__pustule__bouton"
療	疗	liao2	"soigner__traiter"
療傷	疗伤	liao2 shang1	"guérison__guérir__retrouver la santé"
療養	疗养	liao2 yang3	"aller en maison de repos__faire une cure en sanatorium__guérir__récupérer (ses forces)__convalescence"
療養院	疗养院	liao2 yang3 yuan4	"sanatorium__maison de repos"
療癒	疗愈	liao2 yu4	"guérir__thérapie"
療效	疗效	liao2 xiao4	"effet curatif"
療法	疗法	liao2 fa3	"thérapie"
療程	疗程	liao2 cheng2	"période de traitement"
疘	疘	gang1	"anus"
疙	疙	ge1	"bouton__verrue"
疙瘩	疙瘩	ge1 da5	"bouton (sur la peau)__problème"
疚	疚	jiu4	"remords"
疝	疝	shan4	"hernie"
瘧	疟	nu:e4	"malaria"
癘	疠	li4	"ulcère__peste"
瘍	疡	yang2	"ulcère__plaie"
疢	疢	chen4	"(maladie)"
疣	疣	you2	"goitre"
疤	疤	ba1	"cicatrice"
疤痕	疤痕	ba1 hen2	"cicatrice"
疥	疥	jie4	"gale"
疫	疫	yi4	"épidémie"
疫區	疫区	yi4 qu1	"région touchée"
疫情	疫情	yi4 qing2	"situation épidémique__épidémies"
疫病	疫病	yi4 bing4	"peste__fléau"
疫苗	疫苗	yi4 miao2	"vaccin"
瘡	疮	chuang1	"ulcère__furoncle__blessure"
瘡口	疮口	chuang1 kou3	"plaie"
瘡瘍	疮疡	chuang1 yang2	"endolori__ulcère de la peau"
瘋	疯	feng1	"fou__aliéné"
瘋子	疯子	feng1 zi5	"dément__dingo__dingue__fou__enragé__forcené__aliéné__lunatique"
瘋牛病	疯牛病	feng1 niu2 bing4	"encéphalopathie spongiforme bovine__maladie de la vache folle"
瘋狂	疯狂	feng1 kuang2	"furieux__frénétique__forcené"
瘋狂城市賽車	疯狂城市赛车	feng1 kuang2 cheng2 shi4 sai4 che1	"Midtown Madness (jeu vidéo)"
瘋狂英語	疯狂英语	feng1 kuang2 ying1 yu3	"Crazy English (méthode de chinois)"
皰	疱	pao4	"pustule__ampoule"
皰疹	疱疹	pao4 zhen3	"blister__bulle__herpès"
疲	疲	pi2	"fatigué__épuisé"
疲乏	疲乏	pi2 fa2	"lassitude__fatigue__fatiguer"
疲倦	疲倦	pi2 juan4	"fatigué__épuisé__las__lassé"
疲勞	疲劳	pi2 lao2	"fatigué__fatigue__lassitude"
疲憊	疲惫	pi2 bei4	"épuisé__exténué__harassé__rompu__éreinté__brisé de fatigue"
疲累	疲累	pi2 lei4	"fatigué__épuisé"
疲軟	疲软	pi2 ruan3	"fléchir"
疳	疳	gan1	"rachitisme"
痾	疴	ke1	"maladie"
疵	疵	ci1	"défaut__tache__faute"
疶	疶	xie4	"dysenterie"
疸	疸	dan3	"jaunisse"
疹	疹	zhen3	"éruption (cutanée)__rougeurs"
疼	疼	teng2	"avoir mal__(qch) faire mal__chérir__douloureux__endolori"
疼惜	疼惜	teng2 xi1	"chérir__choyer__chouchouter"
疼惜	疼惜	teng2 xi1	"chérir__chouchouter"
疼愛	疼爱	teng2 ai4	"chérir"
疼痛	疼痛	teng2 tong4	"douleur"
疽	疽	ju1	"furoncle__gangrène"
疾	疾	ji2	"maladie__peine__douleur__haïr__détester__rapide__vif"
疾病	疾病	ji2 bing4	"maladie"
疾苦	疾苦	ji2 ku3	"souffrance__souci"
疾風	疾风	ji2 feng1	"fort vent__grand frais"
疾馳	疾驰	ji2 chi2	"galoper"
疿	疿	fei4	"chaleur épineuse__fièvre miliaire"
痁	痁	dian4	"fièvre paludéenne"
痂	痂	jia1	"croute__escarre"
痂皮	痂皮	jia1 pi2	"gale"
病	病	bing4	"tomber malade__maladie__défaut__faute"
病人	病人	bing4 ren2	"malade (personne)"
病休	病休	bing4 xiu1	"être en congé maladie"
病例	病例	bing4 li4	"cas"
病倒	病倒	bing4 dao3	"tomber malade"
病假條	病假条	bing4 jia4 tiao2	"certificat médical pour congé de maladie"
病危	病危	bing4 wei1	"gravement malade"
病歷	病历	bing4 li4	"dossier médical"
病原	病原	bing4 yuan2	"agent infectieux"
病變	病变	bing4 bian4	"changement pathologique"
病句	病句	bing4 ju4	"phrase erronée__erreur (de grammaire ou de logique)"
病史	病史	bing4 shi3	"anamnèse (médecine)"
病因	病因	bing4 yin1	"cause de la maladie__source du mal__pathogénie"
病因子	病因子	bing4 yin1 zi5	"cause d'une maladie__facteur pathogène__pathogène"
病國殃民	病国殃民	bing4 guo2 yang1 min2	"(expr. idiom.) endommager le pays et entrainer des souffrances pour le peuple"
病室	病室	bing4 shi4	"infirmerie"
病害	病害	bing4 hai4	"maladies des plantes"
病床	病床	bing4 chuang2	"lit d'hôpital"
病態	病态	bing4 tai4	"morbidité"
